mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.790628528594971,0.27086014404424996,0.06514449119567871,0.011177504704286252,,,sqrt,2,2,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,0.982,0.9951724137931034,0.9579310344827587,0.9870206896551725,0.015967410329412297,65
4.167318344116211,0.6018309725668881,0.1239349365234375,0.05381652634928901,,,sqrt,2,2,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.9993333333333333,1.0,0.9806666666666667,0.9951724137931034,0.9613793103448276,0.9873103448275863,0.014723781703587827,48
1.0269185066223145,0.29676670940849403,0.030553865432739257,0.00814323435875327,,,sqrt,2,5,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9993333333333333,1.0,0.9813333333333334,0.9958620689655172,0.9544827586206897,0.9862022988505748,0.01723918698705461,118
2.5288784503936768,0.3544377911901855,0.07999773025512695,0.016850396333908207,,,sqrt,2,5,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",1.0,1.0,0.9806666666666666,0.9958620689655172,0.9579310344827586,0.9868919540229883,0.01613439657401244,74
4.5405645847320555,0.23674083471559684,0.13816194534301757,0.05104186756998818,,,sqrt,2,5,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",1.0,1.0,0.9806666666666666,0.9951724137931034,0.9613793103448276,0.9874436781609195,0.014834655002197338,45
0.935204553604126,0.04928550070809788,0.03403363227844238,0.010129405532091823,,,sqrt,2,10,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9993333333333333,0.9993333333333333,0.9806666666666667,0.9944827586206897,0.9544827586206897,0.9856597701149425,0.01702183842071804,159
2.830389308929443,0.6661172261037356,0.06259517669677735,0.015462820784817246,,,sqrt,2,10,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.9993333333333333,0.9993333333333333,0.9773333333333333,0.9937931034482759,0.9586206896551724,0.9856827586206898,0.01575133361031276,148
4.387569761276245,0.8170916226877302,0.13124256134033202,0.03210792489029667,,,sqrt,2,10,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}",0.9993333333333333,0.9993333333333333,0.9786666666666667,0.993103448275862,0.9586206896551724,0.9858114942528736,0.01555147114337458,139
1.1596390724182128,0.2767796246730564,0.03954105377197266,0.03355270992799762,,,sqrt,4,2,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.9993333333333333,0.9986666666666666,0.976,0.9924137931034482,0.9479310344827584,0.9828689655172413,0.019388595694829838,544
3.0592718601226805,0.08893591723102116,0.07321467399597167,0.02422609312057578,,,sqrt,4,2,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.9993333333333333,0.9986666666666666,0.9766666666666667,0.9924137931034482,0.9579310344827586,0.9850022988505746,0.015807339197963916,257
